id,song,classical
1111,"Verdi, Giuseppe - Luisa Miller, Opera",0.999974
1224,"Cherubini, Luigi - Requiem No.2, For Male Chorus & Orchestra In D Minor",0.998933
1106,"Verdi, Giuseppe - Sacred Pieces (4), For Chorus & Orchestra (Quattro Pezzi Sacri)",0.998675
1110,"Verdi, Giuseppe - La Traviata, Opera",0.998594
1450,"Mahler, Gustav - Symphony No. 10 In F Sharp Minor (realization By Deryck Cooke)",0.998329
90,"Antonio Vivaldi (Holiday) - Gloria In D Major, Et In Terra Pax",0.998277
1368,The Cambridge Singers & Orchestra (Holiday) - O Little One Sweet,0.998129
1366,The Cambridge Singers & Orchestra (Holiday) - Angels We Have Heard On High,0.998097
1030,"Boccherini, Luigi - String Quintet For 2 Violins, Viola & 2 Cellos In G Minor, G. 351 (Op. 42?4)",0.997524
1114,"Verdi, Giuseppe - Requiem Mass, For Soloists, Chorus & Orchestra (Manzoni Requiem)",0.997083
1005,"Boccherini, Luigi - Symphony In A Major, G. 508 (Op. 12?6)",0.99619
1225,"Cherubini, Luigi - Symphony In D Major",0.995693
1036,"Boccherini, Luigi - Symphony In D Minor (""La Casa Del Diavolo""), G. 506 (Op. 12?4)",0.995337
1032,"Boccherini, Luigi - Symphony In B Flat Major, G. 497 (Op. 21?5)",0.994734
1365,The Cambridge Singers & Orchestra (Holiday) - 'Twas In The Moon Of Winter Time,0.994541
1029,"Boccherini, Luigi - String Quartet in A major, G. 213 (Op. 39)",0.994298
1445,"Dittersdorf, Karl Ditters von - Sinfonia In D Major, (""Il Combatiimento Delle Passioni Umani""), Grave D16",0.993809
1444,"Dittersdorf, Karl Ditters von - Sinfonia In A Major, (""Sinfonia Nazionale Nel Gusto Di Cinque Nazioni""), Grave A10",0.993683
1226,"Cherubini, Luigi - String Quartet No. 6 In A Minor",0.993682
558,"Mealli, Giovanni - Sonata For Violin & Continuo, Op. 3?6 (""La Sabbatina"")",0.992608
1011,"Boccherini, Luigi - Cello Concerto In B Flat Major, G. 482",0.992325
175,"Rachmaninov, Sergey - Symphony No. 1 in D minor, Op. 13 (lost; reconstructed from piano duets and orch. fragments)",0.991946
1012,"Boccherini, Luigi - Cello Concerto In C Major, G. 477",0.991543
1034,"Boccherini, Luigi - Symphony In D Major, G. 496 (Op. 21?4)",0.990711
129,"Rosetti, Antonio - Symphony In D Major, A 12?K 1 No 12",0.990453
406,"Morricone, Ennio - Giuseppe Tornatore Suite",0.989775
1223,"Cherubini, Luigi - Overtures",0.989292
1010,"Boccherini, Luigi - Cello Concerto In A Major, G. 475",0.988613
985,"Beck, Ignaz, Franz - Overture (Sinfonia) In G Minor, Op. 1?1 (Callen 1)",0.988587
1446,"Dittersdorf, Karl Ditters von - Concerto For Viola & Orchestra In F",0.987603
1441,"Dittersdorf, Karl Ditters von - Symphony After Ovid's ""Metamorphoses"" No. 4 In F Major (""Die Rettung Der Andromeda Durch Perseus"")",0.986861
12,Deuter - Marfa Lights 2,0.986381
759,"Berwald, Franz - Symphony No. 2 In D, ""Sinfonie Capricieuse""",0.985798
1694,"Fiorillo, Federigo - Concerto For Violin & Orchestra No 1 In F",0.984845
160,"Strauss, Richard - Salome, opera, Op. 54 (TrV 215)",0.984308
1025,"Boccherini, Luigi - String Quartet In D Major, G. 203 (Op. 32?3)",0.983736
1009,"Boccherini, Luigi - Symphony In D Major, G. 509 (Op. 35?1)",0.982975
855,Corciolli - Mikhael (Angel Of Divine Protection),0.982738
1007,"Boccherini, Luigi - Cello Concerto In C Major, G. 573",0.981568
774,"Baguer, Carlos - Symphony No. 16 In G Major",0.981337
1437,"John Jacob Niles (Holiday) - Jesus, Jesus, Rest Your Head",0.979518
1443,"Dittersdorf, Karl Ditters von - Divertimento Fur Violine, Viola Und Violoncello D Major",0.977401
596,"Boyce, William - Ode For St. Cecilia's Day",0.977055
1367,"The Cambridge Singers & Orchestra (Holiday) - Good Christian Men, Rejoice",0.976295
773,"Baguer, Carlos - Symphony No. 18 In B Flat Major",0.976135
857,Corciolli - Friends (Sky),0.975691
1452,"Mahler, Gustav - Symphony No. 6 in A minor (""Tragic"")",0.975343
1040,"Boccherini, Luigi - Symphony In D Major, G. 520 (Op. 42)",0.975019
1037,"Boccherini, Luigi - Symphony In E Flat Major, G. 513 (Op. 35?5)",0.973792
1014,"Boccherini, Luigi - Cello Concerto In D Major, G. 483 (Op. 34)",0.972241
176,"Rachmaninov, Sergey - Symphony No. 2 in E minor, Op. 27",0.970097
1023,"Boccherini, Luigi - Sonata for cello & continuo in G major, G. 5 (Six Sonatas No. 3)",0.969896
162,"Strauss, Richard - Macbeth, Tone Poem For Orchestra, Op. 23 (TrV 163)",0.967935
1039,"Boccherini, Luigi - Symphony In C Major, G. 495 (Op. 21?3)",0.966679
1440,"Dittersdorf, Karl Ditters von - Symphony After Ovid's ""Metamorphoses"" No. 1 In C Major (""Die Vier Weltalter"")",0.964019
1020,"Boccherini, Luigi - Quintet For Guitar & Strings In E Minor, G. 451 (arrangement Piano Quintet, G. 407)",0.963989
1038,"Boccherini, Luigi - Symphony In B Flat Major, G. 493 (Op. 21?1)",0.961583
1019,"Boccherini, Luigi - Quintet For Guitar & Strings In D Minor, G. 445 (arrangement Of Piano Quintet, G. 416)",0.960166
1026,"Boccherini, Luigi - String Quartet In E Flat Major, G. 201 (Op. 32?1)",0.956359
1031,"Boccherini, Luigi - Symphony In A Major, G. 498 (Op. 21?6)",0.955408
161,"Strauss, Richard - Eine Alpensinfonie (An Alpine Symphony) For Orchestra, Op. 64 (TrV 233)",0.955159
1016,"Boccherini, Luigi - Minuet in A major, arrangements (after String Quintet in E major, Op.11?5 [aka Op. 13?5], G. 275)",0.953715
132,"Rosetti, Antonio - Symphony In G Major, A 40?K 1 No 22",0.953518
1028,"Boccherini, Luigi - String Quartet In G Minor, G. 205 (Op. 32?5)",0.952331
1006,"Boccherini, Luigi - Symphony In E Flat Major, G. 510 (Op. 35?2)",0.950226
1786,Markus Reuter - A Clue To Reality,0.948839
632,"Couperin, Francois - Ignitum Eloquium Tuum, Motet Verset For 2 Sopranos, 2 Violins & Continuo (4 Versets D'un Motet)",0.948058
174,"Rachmaninov, Sergey - Symphonic Dances, for orchestra (or 2 pianos), Op. 45",0.946527
131,"Rosetti, Antonio - Symphony In C Major, A 9?K 1 No 21",0.946373
448,"Pichl, Vaclav - Symphony In C Major, Z21",0.946101
79,"Schumann, Robert - Cello Concerto in A minor, Op. 129",0.943917
761,The Youth Choir Of Saint-Francois De Versailles (Holiday) - Guillo Take Your Tambourine,0.941523
1113,"Verdi, Giuseppe - Nabucco, Opera (Nabucodonosor)",0.941226
1017,"Boccherini, Luigi - Quintet For Guitar & Strings In C Major (""La Ritirada Di Madrid""), G. 453 (arrangement Of Piano Quintet, G. 409)",0.936967
1015,"Boccherini, Luigi - Cello Concerto In E Flat Major, G. 474",0.935979
921,"Palmgren, Selim - May Night, For Piano",0.935348
1027,"Boccherini, Luigi - String Quartet In E Minor, G. 202 (Op. 32?2)",0.934971
255,"Mendelssohn, Fanny - String Quartet In E Flat Major",0.933168
1021,"Boccherini, Luigi - Quintet For Guitar & Strings In G Major, G. 450 (Arrangement Of Quintet For Flute And Strings, G. 531 & String Quartet, G. 240)",0.928642
374,Robert Shaw Chorale (Holiday) - Carol Of The Bells ? Deck The Halls,0.927549
14,Deuter - Marfa Lights 1,0.919527
1013,"Boccherini, Luigi - Cello Concerto In D Major, G. 476",0.916198
1402,Liquid Mind - In The Stillness,0.907021
986,"Beck, Ignaz, Franz - Overture (Sinfonia) In G Major, Op. 1?5 (Callen 5)",0.906772
1035,"Boccherini, Luigi - Symphony In D Major, G. 503 (Op. 12?1)",0.90032
1022,"Boccherini, Luigi - Sonata for cello & continuo in C major, G. 17",0.899182
702,Chris Bocast - Quantum Entanglement,0.895122
1024,"Boccherini, Luigi - String Quartet In D Major, G. 165 (Op. 8?1)",0.893819
177,"Rachmaninov, Sergey - The Isle of the Dead, symphonic poem, Op. 29",0.888126
720,"Faure, Gabriel - Piano Trio In D Minor, Op. 120",0.878628
595,"Boyce, William - Trio Sonata No. 9 In C Major",0.878431
1008,"Boccherini, Luigi - Symphony In C Major, G. 505 (Op. 12?3)",0.876904
76,"Schumann, Robert - Piano Concerto in A minor, Op. 54",0.83451
170,"Rachmaninov, Sergey - Etudes-tableaux, For Piano, Op. 33",0.82485
1813,Sam Bush - Big Mon,0.80395
1451,"Mahler, Gustav - Symphony No. 5 in C sharp minor",0.800373
607,"Chopin, Fryderyk - Etudes (12) for piano, Op. 25, CT. 26-37",0.796173
594,"Boyce, William - Trio Sonata No. 6 In B Flat Major",0.796033
613,"Chopin, Fryderyk - Waltzes (3) for piano, Op. 70, CT. 217-219",0.795548
1109,"Verdi, Giuseppe - La Forza Del Destino, Opera",0.79253
772,"Baguer, Carlos - Symphony No. 13 In E Flat Major",0.777459
1018,"Boccherini, Luigi - Quintet For Guitar & Strings In D Major (""Fandango""), G. 448 (Arrangement Of String Quintets, G. 270 & 341)",0.776765
1108,"Verdi, Giuseppe - Falstaff, Opera",0.765482
9,Deuter - Earth Shadow,0.76061
1112,"Verdi, Giuseppe - Macbeth, Opera",0.755561
593,"Boyce, William - Trio Sonata No. 4 In G Minor",0.753217
88,Christmas Cookies (Holiday) - White Christmas,0.739305
130,"Rosetti, Antonio - Symphony In F Major, A 33?K 1 No 24",0.733058
1033,"Boccherini, Luigi - Symphony In C Minor, G. 519 (Op. 41)",0.73075
1041,"Boccherini, Luigi - Symphony In D Minor, G. 522 (Op. 45)",0.710043
80,"Schumann, Robert - String Quartet No. 2 in F major, Op. 41?2",0.705018
2,Jon Schmidt - Solace,0.698209
1212,"Jim Taylor - Little Rose Is Gone, Billy In The Lowground",0.67009
701,Chris Bocast - Hearts' Rest,0.644859
633,"Couperin, Francois - In Lectulo Meo",0.644093
77,"Schumann, Robert - Kreisleriana, 8 fantasies for piano, Op. 16",0.636329
631,"Couperin, Francois - L'Espagnole (La Visionnaire), For 2 Violins & Continuo (Les Nations)",0.578244
1442,"Dittersdorf, Karl Ditters von - Concerto For Harp, 2 Oboes, 2 Horns & Stringorchestra In A Major",0.568337
171,"Rachmaninov, Sergey - Moments Musicaux (6) For Piano, Op. 16",0.539587
1295,Grey Daturas - Hanging Man Is No Peacock,0.536468
169,"Rachmaninov, Sergey - Rhapsody On A Theme Of Paganini (Introduction And 24 Variations), In A Minor For Piano & Orchestra, Op. 43",0.522867
407,"Morricone, Ennio - Sergio Leone Suite",0.520033
167,"Rachmaninov, Sergey - Piano Concerto No. 3 In D Minor, Op. 30",0.514081
1369,"Boieldieu, Francois-Adrien - Concerto For Harp & Orchestra In C, Op.77",0.499968
993,Various Artists? 50 Most Loved Christmas Carols (Holiday) - While Sherherds Watched Their Flocks,0.499309
608,"Chopin, Fryderyk - Impromptu for piano in G flat major, Op. 51, CT. 45",0.485225
978,"Lucky Thompson - Take The ""A"" Train",0.457442
992,"Various Artists? 50 Most Loved Christmas Carols (Holiday) - Lo, How A Rose E'er Blooming",0.456897
165,"Rachmaninov, Sergey - Piano Concerto No. 1 In F Sharp Minor, Op. 1",0.427464
111,Robert Johnson - Walkin' Blues,0.420171
719,"Faure, Gabriel - Impromptu for piano No. 3 in A flat major, Op. 34",0.400949
1210,"Khachaturian, Aram - Masquerada, Suite From The Incidental Music For Orchestra (or Piano)",0.385371
1788,Markus Reuter - The Increase Of Faith,0.376037
78,"Schumann, Robert - Romances (3) for piano, Op. 28",0.375437
1172,Fairfield Four - How I Got Over,0.362946
1494,Steve Roach & Robert Rich - Silk Ridge,0.357363
159,"Strauss, Richard - Der Rosenkavalier, Opera, Op. 59 (TrV 227)",0.350289
166,"Rachmaninov, Sergey - Piano Concerto No. 2 In C Minor, Op. 18",0.343299
61,"Funck, David - Suite In D",0.32541
525,Jean-Luc Ponty - Eulogy To Oscar Romero,0.305458
609,"Chopin, Fryderyk - Nocturnes (2) for piano, Op. 48, CT. 120-121",0.305059
1156,Creative Music Services Musicians (Holiday) - O Christmas Tree,0.30384
722,"Faure, Gabriel - Sonata For Cello & Piano No. 2 In G Minor, Op. 117",0.276606
7,Deuter - Earthlight,0.275556
1377,Gordon Bok - Herring Croon,0.263261
990,Rogue Wave - Perfect,0.238005
113,Robert Johnson - I'm A Steady Rollin' Man,0.228377
1815,Sam Bush - Ozzie & Max,0.219947
721,"Faure, Gabriel - Sonata For Cello & Piano No. 1 In D Minor, Op. 109",0.215257
1183,"Yolanda Kondonassis (Holiday) - Bring A Torch, Jeannette, Isabella",0.199705
87,Christmas Cookies (Holiday) - The Christmas Song,0.199661
836,Teddy Wilson - Body And Soul,0.193653
0,Jon Schmidt - Night Song,0.189933
610,"Chopin, Fryderyk - Nocturnes (3) For Piano, Op. 9, Ct. 108-110",0.180227
1061,Brian Eno - An Ending (Ascent),0.179302
1246,Tim O'Brien - Johnny Don't Get Drunk ? Rye Straw,0.178036
914,Dan Crary - Lime Rock,0.170485
168,"Rachmaninov, Sergey - Piano Concerto No. 4 In G Minor, Op. 40",0.165679
1749,Explosions In The Sky - A Slow Dance,0.164772
1293,Loreena McKennitt (Holiday) - The Stockford Carol,0.160945
611,"Chopin, Fryderyk - Nocturnes (3) for piano, Op. 15, CT. 111-113",0.159146
670,Jack Jones - Somewhere My Love,0.15869
668,Jack Jones - Autumn Leaves,0.158527
1379,Gordon Bok - Sailor's Carol,0.157996
1161,Robin Bullock - Rigler's March-Rex's Rambles,0.155169
172,"Rachmaninov, Sergey - Preludes (10) For Piano, Op. 23",0.154686
102,"Bing Crosby - It's Been A Long, Long Time",0.154601
1830,Wreckless Eric - Whole Wide World,0.151595
1095,Kruger Brothers - Up18north,0.14764
991,Various Artists? 50 Most Loved Christmas Carols (Holiday) - In The Bleak Midwinter,0.141665
1787,Markus Reuter - Read Aloud In Cold Blood,0.133929
13,Deuter - Black Velvet Flirt,0.132584
418,Lorie Line - Faith Of Our Fathers,0.130657
1378,Gordon Bok - Jericho,0.129761
190,Decal - Some Kind Of Random,0.127222
1275,Laurie Z. - The Mysterious Painter,0.119351
532,Kokomo Arnold - Milk Cow Blues,0.116288
100,Deepak Chopra & Adam Plack - Serenity,0.115063
507,Stars Of The Lid - Even If You're Never Awake,0.1114
322,Hilary Stagg - Spirit Dancers,0.110848
504,Stars Of The Lid - Broken Harbors? Part 1,0.108862
612,"Chopin, Fryderyk - Piano Sonata No. 3 in B minor, Op. 58, CT. 203",0.105101
913,Dan Crary - Lady's Fantasy,0.104071
1400,Liquid Mind - My Orchid Spirit,0.103485
364,Laurence Juber (Holiday) - Away In A Manger,0.091661
1408,Liquid Mind - Gently Down,0.088647
538,Dan Gibson - Adventureous Spirit,0.088194
1169,Cal Tjader - Sambo Do Suenho,0.087226
311,Westbam - Elektronische Tanzmusik,0.085541
11,Deuter - Empty Shore,0.081009
1772,David Grisman & Tony Rice - O Solo Mio,0.08006
173,"Rachmaninov, Sergey - Preludes (13) For Piano, Op. 32",0.07268
910,Dan Crary - Tom & Jerry,0.070899
1771,David Grisman & Tony Rice - Morning Sun,0.064847
871,Mars Lasar - Untouchable,0.061585
858,Corciolli - Rain,0.061036
186,Gladys Knight & The Pips - Best Thing That Ever Happened To Me,0.05412
92,R.L. Burnside - When My First Wife Left Me,0.053299
1060,Brian Eno - Stars,0.05056
147,Paul Horn - Now Hear This,0.0501
856,Corciolli - Work (Water),0.049634
377,Junior Mance Trio - Smokey Blues (Live),0.049609
853,Corciolli - Children (Lake),0.049421
109,Robert Johnson - I Believe I'll Dust My Broom,0.048578
1495,Steve Roach & Robert Rich - Going Inland,0.047417
483,Butch Thompson (Holiday) - Ave Maria,0.04673
835,Teddy Wilson - In The Mood,0.045857
604,Buddy Bregman - Derek's Blues,0.043241
366,Laurence Juber (Holiday) - Good King Wenceslaus,0.043181
563,Alison Krauss - Foolish Heart,0.042262
672,Dave Holland - Blue,0.041344
1334,The Beatles - A Day In The Life,0.04106
1,Jon Schmidt - Passages,0.040558
1054,James Cotton - Mighty Long Time,0.040446
1072,Garfield Akers - Cottonfield Blues Part 1,0.039948
1773,David Grisman & Tony Rice - Song For Two Pamelas,0.039776
1165,John Prine - Everything Is Cool,0.039765
658,Tetsu Inoue - Mini Moon,0.039596
840,Teddy Wilson - Mean To Me,0.039409
1774,Howard Roberts - Watermelon Man,0.038279
1429,Antonio Pinana - Cuando Llora La Guitarra,0.037969
1197,Tommy Johnson - Big Fat Mama Blues,0.037958
911,Dan Crary - Amsterdance,0.037675
419,Lorie Line - Norwegian Wood,0.037342
503,Stars Of The Lid - A Lovesong (For Cubs)+? Part 3,0.036284
771,John R. Burr - For The Asking,0.036067
987,Rogue Wave - Endgame,0.034559
1392,Will Ackerman (Holiday) - Emmanuel,0.033425
8,Deuter - Yellow Mandala,0.032881
557,Tristeza - Abrazo Distante,0.03286
1159,"Harry Connick, Jr. - It Had To Be You",0.031268
1769,David Grisman & Tony Rice - The Prisoner's Waltz,0.031248
1816,Sam Bush - Sailin' Shoes,0.031182
979,Bessie Smith (Holiday) - At The Christmas Ball,0.030429
1267,Jennifer Haines (Holiday) - Cantique De Noel (O Holy Night),0.030422
915,Dan Crary - On The Fritz,0.030417
1673,Jimmy Forrest - By The River Sainte Marie,0.029809
1654,Jake Schepps - In The American West? Rocky Ford,0.029079
1540,Tommy Flanagan - While You Are Gone,0.025271
367,Laurence Juber (Holiday) - Prelude & Silent Night,0.024704
1693,Wire - Reuters,0.024692
295,Peggy Lee & Art Lund (Holiday) - Winter Weather,0.024021
803,Ralph Stanley & The Clinch Mountain Boys - Man Of Constant Sorrow,0.023889
885,Toshiko Akiyoshi - 52nd St. Theme,0.022435
1805,Jim Henry+Brooks Williams - On The Rollin' Sea,0.021923
1577,Mike Dowling - Ragged And Dirty,0.021873
1576,Mike Dowling - Mean Old Frisco,0.021836
1667,SubtractiveLAD - My Quadrant,0.021811
1608,Ben Webster - Someone To Watch Over Me,0.021711
837,Teddy Wilson - Easy To Love,0.019784
1160,"Harry Connick, Jr. - I Could Write A Book",0.019268
1344,The Beatles - Two Of Us,0.019267
659,The Cotton Pickers - Hot Lips,0.018418
474,Yellowman - Hold On To Your Woman,0.017394
1119,Tony Bennett - She's Funny That Way,0.016969
1676,Doc Watson - Little Orphan Girl (Live),0.016575
515,Sonny Rollins - Manhattan,0.01637
481,Butch Thompson (Holiday) - Silent Night,0.016134
1199,Tommy Johnson - Lonesome Home Blues (Take 2),0.016005
669,Jack Jones - Luck Be A Lady,0.01552
1230,Ronan Hardiman - Celtic Dream,0.015489
501,Kit McClure Band - One O'clock Jump,0.015036
417,Lorie Line - Think Of Me,0.014871
1298,The Gene Harris Quartet - The Song Is Ended,0.014738
112,Robert Johnson - Traveling Riverside Blues,0.0145
938,Wes Montgomery - Road Song,0.014295
1768,David Grisman & Tony Rice - Swing '42,0.014209
685,Bryan Sutton - Grover Glen,0.014143
1827,Clint Mansell & Kronos Quartet - Lux Aeterna,0.0141
1206,Pete Fountain - The Darktown Strutters' Ball,0.013977
1382,"Eddie ""Lockjaw"" Davis - Trane Whistle",0.013683
1238,Mose Andrews - Ten Pound Hammer,0.013666
1058,Brian Eno - Neroli,0.013379
1637,Donald Byrd & Doug Watkins - If I Love Again,0.013334
1598,Milt Jackson - Bags Of Blue (Live),0.013142
202,Will Ackerman - If You Look,0.012821
506,Stars Of The Lid - A Meaningful Moment Through A Meaning(Less) Process,0.012626
320,Hilary Stagg - Land Of Oz,0.012398
505,Stars Of The Lid - Gasfarming,0.012071
1677,Doc Watson - Billy In The Low Ground (Live),0.011719
1600,Milt Jackson - Little Girl Blue (Live),0.011578
1681,Doc Watson - Spike Driver Blues,0.011559
482,Butch Thompson (Holiday) - We Three Kings,0.010679
1738,Preston Reed - Tractor Pull,0.010613
1545,Marty Robbins (Holiday) - The Joy Of Christmas,0.010531
1101,Robert Henke - Signal To Noise II,0.010417
1407,Liquid Mind - Breathe In Me,0.010144
920,Dan Crary - Reedie's Blues,0.009879
368,The Seldom Scene - Maybe You Will Change Your Mind,0.009855
522,Sonny Rollins - There Are Such Things,0.009584
585,Boys From Indiana - Atlanta Is Burning,0.009459
291,Josh White - Jesus Gonna Make Up My Dying Bed,0.009375
5,Deuter - Sea And Silence,0.00936
886,Mice Parade - Circle None,0.009339
1430,Eric Harringer & John Paul Lacey - Morning Sun,0.00919
480,Butch Thompson (Holiday) - God Rest Ye Merry Gentlemen,0.009119
1804,Jim Henry+Brooks Williams - Malted Milk,0.009017
908,Branford Marsalis - Swingin' At The Haven,0.008998
562,Alison Krauss - Everytime You Say Goodbye,0.008965
1587,Hugo Montenegro & His Orchestra - Theme From A Fistful Of Dollars,0.00895
1709,Antonio Aguilar - Mi Ranchito,0.008786
859,Maria Bethania & Gal Gosta - Sonho Meu,0.008672
1767,David Grisman & Tony Rice - I Am A Pilgrim,0.008603
1330,The Beatles - Michelle,0.008537
85,Question Mark and the Mysterians - 96 Tears,0.007967
16,Jerry Douglas?Russ Barenberg?Edgar Meyer - Big Bug Shuffle,0.007913
1538,The Association - Windy,0.007875
918,"Dan Crary - The Fermoy Lass, The Man Of The House",0.007595
1729,Charlie Lincoln - Depot Blues,0.007557
1510,"Furry Lewis - Furry's Rag (Take Your Time, Baby)",0.007477
1802,Jim Henry+Brooks Williams - Angie,0.007448
1790,The Dirty Projectors - On The Beach,0.007394
917,Dan Crary - Senso Unico,0.007186
1120,Tony Bennett - I Wanna Be Around,0.00715
1625,Generation J - Jesus Loves Me Medley,0.006895
1133,Men Of Steel - O'Carolan's Quarrel With The Landlady (Live),0.006835
642,Dean Martin - Mr. Wonderful (Live),0.006748
1728,Eddie Fisher (Holiday) - My Favorite Things,0.006649
1177,Don Ross - Blue Bear,0.006592
1324,The Beatles - Within You Without You,0.0065
1770,David Grisman & Tony Rice - Grandfather's Clock,0.006457
1602,Milt Jackson - Sweet And Lovely,0.006106
1766,David Grisman & Tony Rice - Banks Of The Ohio,0.006069
1280,The David Grisman Quintet - Cedar Hill (live),0.006034
530,John Danley - Dust For Sparrows,0.006024
1612,John Tesh - Key Of Love (live),0.006022
1863,"The Dukes Of Dixieland - Sunrise, Sunset",0.005872
750,Tommy Emmanuel - Endless Road,0.005745
1438,Eric Clapton & Duane Allman - Mean Old World,0.005743
42,Ella Fitzgerald - Bidin' My Time,0.005636
1507,Los Checkmates - I Think We're Alone Now,0.005561
1433,Eric Harringer & John Paul Lacey - Romance,0.005561
1599,Milt Jackson - Enigma,0.005535
1231,Critters Buggin - 5?4 F.T.D.,0.005531
1147,"Raina Rose - Evergreen House, 2nd Floor",0.005341
354,James P. Johnson - I've Got A Feeling I'm Falling,0.005235
287,The Sons Of The West - Panhandle Shuffle,0.00523
22,RJD2 - Inhale (Remix),0.004903
1655,Jake Schepps - Origami,0.004892
1589,Ani DiFranco - As Is (Live 11.16.03),0.00489
1173,Kim Wilson - High & Lonesome (live),0.004863
1107,"Verdi, Giuseppe - Il Trovatore, Opera",0.004721
984,Paul Bley - Time On My Hands,0.004627
583,Jimmy Dorsey - Begin The Beguine,0.004599
1067,Nitty Gritty Dirt Band - I Saw The Light,0.004286
1405,Liquid Mind - My Silent Knowing,0.004284
365,Laurence Juber (Holiday) - God Rest Ye Merry Gentlemen,0.004258
355,James P. Johnson - Keepin' Out Of Mischief Now,0.004234
1380,Doyle Dykes - Caleb's Report,0.004156
527,John Danley - Hickory,0.004111
509,Tim Sparks - Trap Hill Breakdown,0.004014
1170,Cal Tjader - Mambo In Miami,0.004013
909,John McEuen - Ryan William's Arrival In America,0.003972
292,Josh White - New Milk Cow Blues,0.003931
981,Pete Robbins - Screwgun,0.003889
496,Mahalia Jackson - Trouble Of The World,0.003881
1601,Milt Jackson - Namesake,0.003839
924,Augustus Pablo - East Africa,0.00382
394,Albert King - Jam In A-Flat,0.003602
1792,The Dirty Projectors - Since I Opened,0.003596
1435,Eric Harringer & John Paul Lacey - Whispering Winds,0.003574
39,Ella Fitzgerald - My Man,0.00354
1376,Bunny Berigan - The Buzzard,0.003533
1259,Prince - Little Red Corvette,0.003524
1653,Jake Schepps - Bluff's Collar,0.003514
1115,Mildred Bailey (Holiday) - I've Got My Love To Keep Me Warm (feat. Red Norvo),0.00345
1733,Cedar Walton Trio - I Mean You,0.003398
1652,Robin Guthrie & Harold Budd - Childhood Lost,0.00335
1759,"Lefty Frizzell - Saginaw, Michigan",0.003237
799,Ralph Stanley & The Clinch Mountain Boys - Calling My Children Home,0.003216
1547,Toots & The Maytals - 54-56 Was My Number,0.003196
679,Tex Atchison - Tennessee Hound Dog,0.003166
552,Lyle Lovett - North Dakota,0.003153
1737,Preston Reed - Love In The Old Country,0.003141
240,Jerry Bergonzi - Outhouse,0.003119
512,Sonny Rollins - A Nightingale Sang In Berkeley Square (Live),0.003087
1789,Ohio Players - Fire,0.003071
1691,Pee Wee Hunt & His Orchestra - Charleston,0.003016
1059,Brian Eno - Zawinul ? Lava,0.002995
1256,Prince - Kiss,0.002942
